ENSEMBL,SYMBOL,GENENAME,REFSEQ,ENTREZID,STRING_id,GOSLIM_IDS,Mmus_C57-6J_SLS_GC_Rep1_M33,Mmus_C57-6J_SLS_GC_Rep2_M34,Mmus_C57-6J_SLS_GC_Rep3_M35,Mmus_C57-6J_SLS_GC_Rep4_M36,Mmus_C57-6J_SLS_GC_Rep5_M37,Mmus_C57-6J_SLS_GC_Rep6_M38,Mmus_C57-6J_SLS_FLT_Rep1_M23,Mmus_C57-6J_SLS_FLT_Rep2_M24,Mmus_C57-6J_SLS_FLT_Rep3_M25,Mmus_C57-6J_SLS_FLT_Rep4_M26,Mmus_C57-6J_SLS_FLT_Rep5_M27,Mmus_C57-6J_SLS_FLT_Rep6_M28,Log2fc_(Ground Control)v(Space Flight),Stat_(Ground Control)v(Space Flight),P.value_(Ground Control)v(Space Flight),Adj.p.value_(Ground Control)v(Space Flight),Log2fc_(Space Flight)v(Ground Control),Stat_(Space Flight)v(Ground Control),P.value_(Space Flight)v(Ground Control),Adj.p.value_(Space Flight)v(Ground Control),All.mean,All.stdev,LRT.p.value,Group.Mean_(Ground Control),Group.Stdev_(Ground Control),Group.Mean_(Space Flight),Group.Stdev_(Space Flight)
ENSMUSG00000059898,Dsc3,desmocollin 3,NM_001291809|NM_007882|NP_001278738|NP_031908|XM_006525593|XM_006525596|XP_006525656|XP_006525659,13507,10090.ENSMUSP00000153261,GO:0098609|GO:0007155|GO:0009987|GO:0043169|GO:0046872|GO:0005509|GO:0043167|GO:0005488|GO:0030054|GO:0110165|GO:0005911|GO:0070161,6.10907873936587,1,1,1,1,1,2.32497621170832,90.0499265289537,1.55306274112405,55.7103648189753,1,1,-6.18854350215119,-2.57038592925663,0.0101585275834001,0.0414824440324257,6.18854350215119,2.57038592925663,0.0101585275834001,0.0414824440324257,13.5622840866773,28.6951782165371,0.165726761675532,1.85151312322765,2.08577266119139,25.2730550501269,38.4449936012368
ENSMUSG00000026413,Pkp1,plakophilin 1,NM_001313701|NM_019645|NP_001300630|NP_062619,18772,10090.ENSMUSP00000027667,GO:0022607|GO:0045216|GO:0044085|GO:0007043|GO:0098609|GO:0016043|GO:0007155|GO:0009987|GO:0071840|GO:0006996|GO:0097435|GO:0034330|GO:0045110|GO:0045109|GO:0034329|GO:0007010|GO:0045104|GO:0045103|GO:0045296|GO:0050839|GO:0005515|GO:0005488|GO:0005737|GO:0005634|GO:0043231|GO:0070161|GO:0005911|GO:0030054|GO:0043227|GO:0005912|GO:0071944|GO:0110165|GO:0043226|GO:0016020|GO:0043229|GO:0005886|GO:0005622,1.53335777027406,2.31129515393611,1.57017053293724,1,1,1,1,87.8408403012109,1,69.3606099239895,8.05519571627825,1,-6.01178570997224,-3.06521596880356,0.00217512867781823,0.011784743453593,6.01178570997224,3.06521596880356,0.00217512867781823,0.011784743453593,14.7226224498855,30.1615121653386,0.0376457818810015,1.40247057619123,0.520992234160883,28.0427743235798,39.6898235352562
ENSMUSG00000024503,Spink1,"serine peptidase inhibitor, Kazal type 1",NM_009258|NP_033284,20730,10090.ENSMUSP00000025381,NA,1.83675883461623,1,1.89437830980231,1,1,1,80.8290538061989,11.8004092551331,7.84852413356446,1,4.4119919155798,2.22227589560465,-5.65088524591537,-4.15439037749327,3.26155934210145e-05,0.000317917951692804,5.65088524591537,4.15439037749327,3.26155934210145e-05,0.000317917951692804,9.65361601254162,22.6680468711406,0.000752352069777344,1.28852285740309,0.44734891815872,18.0187091676802,31.0211083982241
ENSMUSG00000039508,Calhm4,calcium homeostasis modulator family member 4,NM_001081165|NP_001074634,270711,10090.ENSMUSP00000042466,GO:0005261|GO:0022803|GO:0022857|GO:0015075|GO:0005216|GO:0008324|GO:0015267|GO:0005215,1,1,1,1,1,2.08571928556686,2.28453277824064,12.3476900394801,1,31.8180368955894,1.93105508615509,1,-4.93540741684819,-3.10214222159264,0.00192125630832812,0.0105916803009494,4.93540741684819,3.10214222159264,0.00192125630832812,0.0105916803009494,4.788919507086,9.09518458683587,0.0188156606285632,1.18095321426114,0.443243042256318,8.39688579991087,12.2699212559846
ENSMUSG00000116378,Gcat,glycine C-acetyltransferase (2-amino-3-ketobutyrate-coenzyme A ligase),NM_001161712|NM_013847|NP_001155184|NP_038875,26912,10090.ENSMUSP00000131649,GO:0005737|GO:0043231|GO:0043227|GO:0110165|GO:0005739|GO:0043226|GO:0043229|GO:0005622,39.4379234502386,17.1328879280608,18.8649381745107,1,2.94314956246514,28.7167361092499,1,1,1,1,1,1,6.44986185945135,5.14825959647283,2.62914465648978e-07,4.14885041177288e-06,-6.44986185945135,-5.14825959647283,2.62914465648978e-07,4.14885041177288e-06,9.50796960204376,13.3493846566566,1.32545397019038e-05,18.0159392040875,14.7759278343768,1,0
ENSMUSG00000064405,Gm23925,"predicted gene, 23925",XR_004941160,115489589,NA,NA,1,2.002576994204,9.25430903652463,14.2618283190969,15.3046382725858,17.9707717343696,1,1,1,1,1,1,5.52692228980071,4.26361157982172,2.01148982771551e-05,0.000208209678576233,-5.52692228980071,-4.26361157982172,2.01148982771551e-05,0.000208209678576233,5.48284369639841,6.71831950550471,0.000324736318012208,9.96568739279682,7.146234469739,1,0
ENSMUSG00000034683,Ppp1r1c,"protein phosphatase 1, regulatory inhibitor subunit 1C",NM_001290743|NM_001290744|NM_172420|NP_001277672|NP_001277673|NP_766008|NR_110979|NR_110980,75276,10090.ENSMUSP00000088265,GO:0050789|GO:0050896|GO:0007165|GO:0051716|GO:0050794|GO:0065007|GO:0007154|GO:0035556|GO:0009987|GO:0023052|GO:0005737|GO:0110165|GO:0005622,15.0766908462558,23.1432802359632,23.5236933241357,13.4772785710157,34.3960382629516,32.2040614803892,3.66142712352331,1,4.13854933892535,1,1.39876807451481,8.36126913287282,3.88762467883001,6.05852093883987,1.3737886732299e-09,3.30856960391964e-08,-3.88762467883001,-6.05852093883987,1.3737886732299e-09,3.30856960391964e-08,13.448421365879,12.2555694289324,8.95290710799576e-09,23.6368404534519,8.55461134745619,3.26000227830605,2.85080071989754
ENSMUSG00000027068,Dhrs9,dehydrogenase/reductase 9,NM_175512|NP_780721,241452,10090.ENSMUSP00000069631,GO:0001523|GO:1901615|GO:0006629|GO:0044237|GO:0006066|GO:0010817|GO:0042572|GO:0009987|GO:0006720|GO:0044238|GO:0042445|GO:0016101|GO:0008202|GO:1901360|GO:0065008|GO:0065007|GO:0044255|GO:0006721|GO:0008152|GO:0071704|GO:0044281|GO:0004745|GO:0016614|GO:0016491|GO:0003824|GO:0016616|GO:0043227|GO:0110165|GO:0043226|GO:0043231|GO:0043229|GO:0005622,47.772765544331,58.5228772856333,27.7862296258943,34.2055829348734,38.8526837162868,36.7383171143316,2.17364162056291,4.6101668485048,3.93921149307148,1,6.10323949136492,5.88594391039268,3.73985754098633,8.45590028660886,2.76942195984958e-17,1.85091298112438e-15,-3.73985754098633,-8.45590028660886,2.76942195984958e-17,1.85091298112438e-15,22.2992216321039,20.5731995065892,2.46431331106922e-19,40.6464093702251,10.9152385450784,3.9520338939828,2.03362632078533
ENSMUSG00000035557,Krt17,keratin 17,NM_010663|NP_034793|XM_030245607|XP_030101467,16667,10090.ENSMUSP00000079699,GO:0048869|GO:0060429|GO:0032502|GO:0016043|GO:0030855|GO:0009987|GO:0009888|GO:0030154|GO:0071840|GO:0006996|GO:0097435|GO:0048856|GO:0007010|GO:0045109|GO:0045104|GO:0045103|GO:0043232|GO:0099080|GO:0043228|GO:0005882|GO:0045111|GO:0099081|GO:0099512|GO:0005856|GO:0110165|GO:0043226|GO:0045095|GO:0099513|GO:0043229|GO:0005622,1,1,1,1,1,1,1,68.3334110220122,1,134.964090145663,1,1,-21.8659735935752,-7.27649705752477,3.42599583086969e-13,1.41395533062496e-11,21.8659735935752,7.27649705752477,3.42599583086969e-13,1.41395533062496e-11,17.7747917639729,41.6734513522792,0.150340649678242,1,0,34.5495835279458,56.0833635921077
ENSMUSG00000045545,Krt14,keratin 14,NM_001313956|NM_001313957|NM_016958|NP_001300885|NP_001300886|NP_058654,16664,10090.ENSMUSP00000007272,GO:0048869|GO:0060429|GO:0032502|GO:0016043|GO:0030855|GO:0009987|GO:0009888|GO:0030154|GO:0071840|GO:0006996|GO:0048856|GO:0097435|GO:0045109|GO:0007010|GO:0045104|GO:0045103|GO:0043232|GO:0043228|GO:0005856|GO:0110165|GO:0043226|GO:0043229|GO:0005622,1,1,1,1,2.29282782612321,1,1,248.989690182192,1,127.503979133916,1,1,-8.29652903712487,-2.76172588162746,0.00574967291376969,0.0262169339776821,8.29652903712487,2.76172588162746,0.00574967291376969,0.0262169339776821,32.3155414285193,77.3045082524159,0.133539504960795,1.21547130435387,0.527794749878914,63.4156115526847,104.046039598247
ENSMUSG00000061527,Krt5,keratin 5,NM_027011|NP_081287,110308,10090.ENSMUSP00000023709,GO:0048869|GO:0009913|GO:0060429|GO:0048513|GO:0032502|GO:0016043|GO:0030855|GO:0009987|GO:0009888|GO:0043588|GO:0071840|GO:0030154|GO:0008544|GO:0006996|GO:0097435|GO:0048856|GO:0007010|GO:0045109|GO:0032501|GO:0045104|GO:0045103|GO:0005198|GO:0099080|GO:0005882|GO:0005576|GO:0045111|GO:0099081|GO:0005615|GO:0099512|GO:0110165|GO:0043226|GO:0045095|GO:0099513|GO:0043229|GO:0005622|GO:0043232|GO:0043228|GO:0005856,1.83546683396014,1,1,1.97637992892988,1.97120713944975,1.99093559774642,1,415.989848738711,1,245.933752675297,1,1,-7.45034795030476,-3.08924807211388,0.00200663809817195,0.0109858885675145,7.45034795030476,3.08924807211388,0.00200663809817195,0.0109858885675145,56.3081325761745,133.316035974085,0.05866540245306,1.62899825001437,0.49044601573199,110.987266902335,178.676201253502
ENSMUSG00000022571,Pycr3,pyrroline-5-carboxylate reductase 3,NM_025412|NP_079688|XM_006521252|XP_006521315,66194,10090.ENSMUSP00000049605,GO:0016053|GO:0043436|GO:0046483|GO:1901566|GO:1901564|GO:0044237|GO:0044249|GO:1901576|GO:0009058|GO:1901362|GO:0009987|GO:0006082|GO:0046394|GO:0018130|GO:0044238|GO:1901360|GO:1901607|GO:0006807|GO:0008652|GO:1901605|GO:0044283|GO:0019752|GO:0006520|GO:0044281|GO:0071704|GO:0008152|GO:0003824|GO:0016491,228.342614537936,214.65799104008,233.298205946275,245.976845617721,226.534135949408,266.85244839401,199.366357134501,253.441468720615,250.69826837757,235.623754257098,263.257794661633,289.343051919997,-0.0764308504320377,-0.788470994415217,0.430421258319675,0.628702313253722,0.0764308504320377,0.788470994415217,0.430421258319675,0.628702313253722,242.28274471307,24.5683341122545,0.627019160520592,235.943706914238,18.2340954193447,248.621782511902,29.9834003080903
