score,osd_id,organism,project_type,material,factors,n_samples,n_groups,n_contrasts,groups,assay,title,dge_url
6,OSD-4,Mus musculus,Spaceflight Study,thymus,Spaceflight,10,2,1,Space Flight | Ground Control,DNA microarray,Microarray Analysis of Space-flown Murine Thymus Tissue,https://osdr.nasa.gov/geode-py/ws/studies/OSD-4/download?source=datamanager&file=GLDS-4_array_differential_expression.csv
6,OSD-98,Not Applicable | Mus musculus,Spaceflight Study,Adrenal glands- both sides | Not Applicable,Spaceflight,11,2,1,Ground Control | Space Flight,mass spectrometry     Whole Genome Bisulfite Sequencing     RNA Sequencing (RNA-Seq),"Rodent Research-1 (RR1) NASA Validation Flight: Mouse adrenal gland transcriptomic, proteomic, and epigenomic data",https://osdr.nasa.gov/geode-py/ws/studies/OSD-98/download?source=datamanager&file=GLDS-98_rna_seq_differential_expression_GLbulkRNAseq.csv
6,OSD-99,Mus musculus,Spaceflight Study,Extensor digitorum longus- both sides,Spaceflight,12,2,1,Ground Control | Space Flight,Whole Genome Bisulfite Sequencing     RNA Sequencing (RNA-Seq),Rodent Research-1 (RR1) NASA Validation Flight: Mouse extensor digitorum longus muscle transcriptomic and epigenomic data,https://osdr.nasa.gov/geode-py/ws/studies/OSD-99/download?source=datamanager&file=GLDS-99_rna_seq_differential_expression_GLbulkRNAseq.csv
6,OSD-100,Mus musculus,Spaceflight Study,left eye,Spaceflight,12,2,1,Ground Control | Space Flight,Whole Genome Bisulfite Sequencing     RNA Sequencing (RNA-Seq),Rodent Research-1 (RR1) NASA Validation Flight: Mouse eye transcriptomic and epigenomic data,https://osdr.nasa.gov/geode-py/ws/studies/OSD-100/download?source=datamanager&file=GLDS-100_rna_seq_differential_expression_GLbulkRNAseq.csv
6,OSD-101,Mus musculus,Spaceflight Study,Not Applicable | Left gastrocnemius,Spaceflight,12,2,1,Ground Control | Space Flight,Whole Transcriptome Bisulfite Sequencing     mass spectrometry     RNA Sequencing (RNA-Seq)     Whole Genome Bisulfite Sequencing,"Rodent Research-1 (RR1) NASA Validation Flight: Mouse left gastrocnemius muscle transcriptomic, proteomic, and epigenomic data",https://osdr.nasa.gov/geode-py/ws/studies/OSD-101/download?source=datamanager&file=GLDS-101_rna_seq_differential_expression_GLbulkRNAseq.csv
6,OSD-102,Not Applicable | Mus musculus,Spaceflight Study,Not Applicable | Left kidney,Spaceflight,12,2,1,Ground Control | Space Flight,mass spectrometry     Whole Genome Bisulfite Sequencing     RNA Sequencing (RNA-Seq)     Whole Transcriptome Bisulfite Sequencing,"Rodent Research-1 (RR1) NASA Validation Flight: Mouse kidney transcriptomic, proteomic, and epigenomic data",https://osdr.nasa.gov/geode-py/ws/studies/OSD-102/download?source=datamanager&file=GLDS-102_rna_seq_differential_expression_GLbulkRNAseq.csv
6,OSD-103,Not Applicable | Mus musculus,Spaceflight Study,Not Applicable | Left quadriceps femoris,Spaceflight,12,2,1,Ground Control | Space Flight,mass spectrometry     Whole Transcriptome Bisulfite Sequencing     Whole Genome Bisulfite Sequencing     RNA Sequencing (RNA-Seq),"Rodent Research-1 (RR1) NASA Validation Flight: Mouse quadriceps muscle transcriptomic, proteomic, and epigenomic data",https://osdr.nasa.gov/geode-py/ws/studies/OSD-103/download?source=datamanager&file=GLDS-103_rna_seq_differential_expression_GLbulkRNAseq.csv
6,OSD-104,Mus musculus,Spaceflight Study,Soleus-both sides,Spaceflight,12,2,1,Ground Control | Space Flight,RNA Sequencing (RNA-Seq)     Whole Genome Bisulfite Sequencing,Rodent Research-1 (RR1) NASA Validation Flight: Mouse soleus muscle transcriptomic and epigenomic data,https://osdr.nasa.gov/geode-py/ws/studies/OSD-104/download?source=datamanager&file=GLDS-104_rna_seq_differential_expression_GLbulkRNAseq.csv
6,OSD-105,Not Applicable | Mus musculus,Spaceflight Study,Not Applicable | Left tibialis anterior,Spaceflight,12,2,1,Ground Control | Space Flight,RNA Sequencing (RNA-Seq)     mass spectrometry     Whole Genome Bisulfite Sequencing     Whole Transcriptome Bisulfite Sequencing,"Rodent Research-1 (RR1) NASA Validation Flight: Mouse tibialis anterior muscle transcriptomic, proteomic, and epigenomic data",https://osdr.nasa.gov/geode-py/ws/studies/OSD-105/download?source=datamanager&file=GLDS-105_rna_seq_differential_expression_GLbulkRNAseq.csv
6,OSD-138,Not Applicable | Bacillus subtilis,Spaceflight Study,Cells | Not Applicable,Spaceflight     Freezing,18,2,1,Ground Control & Frozen | Space Flight & Frozen,mass spectrometry     mass spectrometry     RNA Sequencing (RNA-Seq)     mass spectrometry,"BRIC-23 GeneLab Process Verification Test: Bacillus subtilis transcriptomic, proteomic, and metabolomic data",https://osdr.nasa.gov/geode-py/ws/studies/OSD-138/download?source=datamanager&file=GLDS-138_rna_seq_differential_expression_GLbulkRNAseq.csv
