"ENSEMBL","SYMBOL","GENENAME","REFSEQ","ENTREZID","STRING_id","GOSLIM_IDS","Mmus_C57-6J_SLS_GC_Rep1_M33","Mmus_C57-6J_SLS_GC_Rep2_M34","Mmus_C57-6J_SLS_GC_Rep3_M35","Mmus_C57-6J_SLS_GC_Rep4_M36","Mmus_C57-6J_SLS_GC_Rep5_M37","Mmus_C57-6J_SLS_GC_Rep6_M38","Mmus_C57-6J_SLS_FLT_Rep1_M23","Mmus_C57-6J_SLS_FLT_Rep2_M24","Mmus_C57-6J_SLS_FLT_Rep3_M25","Mmus_C57-6J_SLS_FLT_Rep4_M26","Mmus_C57-6J_SLS_FLT_Rep5_M27","Mmus_C57-6J_SLS_FLT_Rep6_M28","Log2fc_(Ground Control)v(Space Flight)","Stat_(Ground Control)v(Space Flight)","P.value_(Ground Control)v(Space Flight)","Adj.p.value_(Ground Control)v(Space Flight)","Log2fc_(Space Flight)v(Ground Control)","Stat_(Space Flight)v(Ground Control)","P.value_(Space Flight)v(Ground Control)","Adj.p.value_(Space Flight)v(Ground Control)","All.mean","All.stdev","LRT.p.value","Group.Mean_(Ground Control)","Group.Stdev_(Ground Control)","Group.Mean_(Space Flight)","Group.Stdev_(Space Flight)"
"ENSMUSG00000000001","Gnai3","G protein subunit alpha i3","NM_010306|NP_034436","14679","10090.ENSMUSP00000000001","GO:0050789|GO:0007188|GO:0050896|GO:0051716|GO:0007165|GO:0050794|GO:0065007|GO:0007186|GO:0007154|GO:0009987|GO:0023052|GO:0003924|GO:0016462|GO:0005488|GO:0003824|GO:0016787|GO:0016818|GO:0016817|GO:0005515|GO:0044877|GO:0017111|GO:0001664|GO:0005102|GO:0098796|GO:0031234|GO:0032991|GO:1902494|GO:0098797|GO:0019897|GO:0110165|GO:0071944|GO:0016020|GO:0098552|GO:0009898|GO:0005886|GO:0019898|GO:0098562",1007.54153636986,918.180041968431,963.599291768949,857.437466114146,859.170494363987,904.855718088129,1020.90863339299,850.475568705374,819.023811524069,856.915953680352,910.357623410405,856.068009216052,0.0536858358128924,0.800616079909053,0.423353938846934,0.622162468905769,-0.0536858358128924,-0.800616079909053,0.423353938846934,0.622162468905769,902.044512383562,65.3068606874759,0.620130830433325,918.464091445584,58.9868216913361,885.624933321541,72.5015723916002
"ENSMUSG00000000028","Cdc45","cell division cycle 45","NM_001161623|NM_001358206|NM_001416648|NM_001416649|NM_001416651|NM_001416660|NM_001416663|NM_009862|NP_001155095|NP_001345135|NP_001403577|NP_001403578|NP_001403580|NP_001403589|NP_001403592|NP_033992|XM_036159760|XP_036015653","12544","10090.ENSMUSP00000000028","GO:0006281|GO:0006725|GO:0044085|GO:0071824|GO:0006302|GO:0022402|GO:0065003|GO:0065004|GO:0006139|GO:1903047|GO:0006974|GO:0000278|GO:1901360|GO:0006807|GO:0000725|GO:0006261|GO:0044786|GO:0071704|GO:0008152|GO:0022607|GO:0033260|GO:0046483|GO:0051716|GO:0043170|GO:0044237|GO:0016043|GO:0034641|GO:0000724|GO:0009987|GO:0006310|GO:0044238|GO:0071840|GO:0050896|GO:0090304|GO:0006950|GO:0000727|GO:0043933|GO:1902969|GO:0007049|GO:0033554|GO:0006260|GO:0006270|GO:0006259|GO:1990837|GO:0003688|GO:0043565|GO:0003676|GO:0003682|GO:0003697|GO:0005488|GO:0097159|GO:0003677|GO:1901363|GO:0003690|GO:0044877|GO:0031974|GO:0043233|GO:0005634|GO:0043231|GO:0032993|GO:0031261|GO:0005654|GO:0070013|GO:0110165|GO:0043226|GO:0043229|GO:0005622|GO:0032991|GO:0043227|GO:0031981|GO:0140513",123.779534262359,121.787472907804,109.789532676872,111.924258395092,130.469021415026,137.081171647909,106.181027310943,162.957343129066,90.0841807436,131.32072912882,163.542806885974,115.564995898887,-0.0691864481483014,-0.449402256215331,0.653141504024344,0.801437529396494,0.0691864481483014,0.449402256215331,0.653141504024344,0.801437529396494,125.373506200196,21.777555103777,0.797105236171305,122.471831884177,10.5038878624458,128.275180516215,30.2131961305301
"ENSMUSG00000000031","H19","H19, imprinted maternally expressed transcript","NM_023123|NR_001592|NR_130973|NR_130974","14955",NA,NA,122071.55312935,106249.457795941,114545.67444176,113838.339471367,105669.840591616,117320.037935998,80124.3942221245,75934.059187672,84143.4905502333,88973.7932755504,60625.8269775665,68847.7908881423,0.56750786282154,6.72542255963685,1.75083590471694e-11,5.56207162822496e-10,-0.56750786282154,-6.72542255963685,1.75083590471694e-11,5.56207162822496e-10,94862.0215389433,20916.7861507734,6.45298569778472e-10,113282.483894339,6369.77237574436,76441.5591835482,10373.0436267924
"ENSMUSG00000000037","Scml2","Scm polycomb group protein like 2","NM_001290651|NM_001290652|NM_133194|NP_001277580|NP_001277581|XM_006528670|XM_006528672|XM_006528673|XP_006528733|XP_006528735|XP_006528736","107815","10090.ENSMUSP00000019101",NA,20.3158512896474,12.7217714590431,8.41796222513094,6.25514009035656,3.64212339687308,15.4040978069878,8.41046464462891,9.73332266466678,8.99942497545362,8.73416828736489,13.9187109732724,12.2569336561596,0.130143999361182,0.282747607626662,0.777370319057028,0.881337851329644,-0.130143999361182,-0.282747607626662,0.777370319057028,0.881337851329644,10.7341642891321,4.46360854332162,0.873923918468147,11.1261577113398,6.20272726842907,10.3421708669244,2.23377615525524
"ENSMUSG00000000049","Apoh","apolipoprotein H","NM_013475|NP_038503|XM_006532042|XP_006532105","11818","10090.ENSMUSP00000000049","GO:0048583|GO:0050789|GO:0002697|GO:0048519|GO:0048585|GO:0030449|GO:0050776|GO:0065007|GO:0002706|GO:0002703|GO:0002682|GO:0002683|GO:0002819|GO:0050777|GO:0110165|GO:0005615|GO:0005576",20.453997564639,12.728990494864,10.078634617099,7.60983473617372,13.3500302333958,11.0316676288269,11.9317940169266,12.1929634690294,20.0661150350486,32.8517829677425,52.2597944668765,11.3449433727786,-0.989034184744996,-2.15697014858191,0.0310079904407357,0.0988805242467905,0.989034184744996,2.15697014858191,0.0310079904407357,0.0988805242467905,17.9917123836167,12.7496903386572,0.101665589981763,12.5421925458331,4.38093849795782,23.4412322214003,16.3448483191795
"ENSMUSG00000000056","Narf","nuclear prelamin A recognition factor","NM_026272|NP_080548","67608","10090.ENSMUSP00000099304","GO:0071840|GO:0022607|GO:0044085|GO:0006790|GO:0044237|GO:0016043|GO:0016226|GO:0009987|GO:0008152|GO:0005515|GO:0005488|GO:0031974|GO:0099080|GO:0043233|GO:0005634|GO:0043231|GO:0005882|GO:0070013|GO:0045111|GO:0099081|GO:0099512|GO:0110165|GO:0140535|GO:0043226|GO:0099513|GO:0043229|GO:0005622|GO:0043232|GO:0034399|GO:0043228|GO:0032991|GO:0043227|GO:0031981|GO:0005856",5309.20152325833,5382.17187380209,5029.41164800878,5370.46897607504,5036.9276322902,5433.93267110008,4561.49126944286,4692.49145098346,4532.12455572038,4716.23896229174,4247.62489978029,4497.71670775307,0.212415476058891,5.55749974251592,2.73666387902373e-08,5.18222184542582e-07,-0.212415476058891,-5.55749974251592,2.73666387902373e-08,5.18222184542582e-07,4900.81684754219,410.766781890959,5.24364886132487e-07,5260.35238742242,180.407455299742,4541.28130766197,168.5816937116
"ENSMUSG00000000058","Cav2","caveolin 2","NM_001277756|NM_016900|NP_001264685|NP_058596","12390","10090.ENSMUSP00000000058","GO:0098771|GO:0044085|GO:0043408|GO:0061024|GO:0009967|GO:0007009|GO:0010256|GO:1902531|GO:0050789|GO:0032870|GO:0009966|GO:0023056|GO:0048518|GO:0007169|GO:0048869|GO:0022607|GO:0071495|GO:1901700|GO:0071310|GO:0016043|GO:0007154|GO:0010243|GO:0055082|GO:0051480|GO:0050801|GO:0048522|GO:1901698|GO:0048583|GO:0071840|GO:0007167|GO:0050794|GO:0071417|GO:0030003|GO:0010647|GO:0006873|GO:0007165|GO:0048519|GO:0055074|GO:0032868|GO:0043434|GO:0023051|GO:0032502|GO:0019725|GO:1901699|GO:0006874|GO:0043410|GO:0048584|GO:0030154|GO:1901701|GO:0009719|GO:0071709|GO:1901652|GO:0008285|GO:0032869|GO:1902533|GO:0023052|GO:0048523|GO:0010033|GO:0010646|GO:0051716|GO:0008286|GO:0070887|GO:0042127|GO:0042592|GO:0055080|GO:1901653|GO:0071375|GO:0009987|GO:0048878|GO:0050896|GO:0009725|GO:0042221|GO:0007166|GO:0065007|GO:0019899|GO:0005515|GO:0019901|GO:0005488|GO:0019900|GO:0044853|GO:0048471|GO:0097708|GO:0043231|GO:0070161|GO:0005794|GO:0030054|GO:0005901|GO:0071944|GO:0110165|GO:0043226|GO:0016020|GO:0031982|GO:0043229|GO:0042383|GO:0005622|GO:0005737|GO:0012505|GO:0005925|GO:0030055|GO:0098590|GO:0043227|GO:0031410|GO:0045121|GO:0098857|GO:0005886",913.699326333951,791.883461343564,755.234412752211,969.150088073454,848.555737128628,778.041113885195,1184.84662532917,842.362845137873,728.66235348942,863.932368084416,813.497123665294,760.327012140604,-0.0369453017291302,-0.327670610594841,0.743160726974962,0.860100329953776,0.0369453017291302,0.327670610594841,0.743160726974962,0.860100329953776,854.182705613649,125.065020118076,0.854166643867613,842.760689919501,84.2355243096517,865.604721307797,164.322965369825
"ENSMUSG00000000078","Klf6","Kruppel-like transcription factor 6","NM_011803|NP_035933","23849","10090.ENSMUSP00000000080",NA,2573.370118634,3461.08141362275,2977.23735792071,2379.78052329629,2590.88831351905,3004.65335021248,3074.42309907088,2575.5439843512,2592.17563601237,2023.71947208633,2246.70341570772,2016.020823312,0.225487169191356,1.9552414188159,0.0505545819723441,0.143575225955186,-0.225487169191356,-1.9552414188159,0.0505545819723441,0.143575225955186,2626.29979231215,438.19756833015,0.144100116989575,2831.16851286755,393.997223903705,2421.43107175675,408.010986036362
"ENSMUSG00000000085","Scmh1","sex comb on midleg homolog 1","NM_001159630|NM_001379184|NM_001379185|NM_001379186|NM_001404090|NM_001404102|NM_001404103|NM_013883|NP_001153102|NP_001366113|NP_001366114|NP_001366115|NP_001391019|NP_001391031|NP_001391032|NP_038911|NR_175812|XM_006503149|XM_017320253|XP_006503212|XP_017175742|XR_003954960|XR_004941919","29871","10090.ENSMUSP00000101908","GO:0031324|GO:0048519|GO:0009890|GO:0051253|GO:0006355|GO:0051171|GO:1902679|GO:0009892|GO:2001141|GO:0051252|GO:0051172|GO:0050789|GO:0080090|GO:0010558|GO:0031326|GO:0060255|GO:0050794|GO:0019219|GO:0009889|GO:0010605|GO:0065007|GO:0045934|GO:0010556|GO:0045892|GO:0010468|GO:0048523|GO:0019222|GO:0031327|GO:0031323|GO:0005515|GO:0044877|GO:0042393|GO:0005488|GO:0003682|GO:0043227|GO:0110165|GO:0043226|GO:0005634|GO:0043231|GO:0043229|GO:0005622",1916.68676702133,1912.64782908186,1860.1841590873,1822.35556394496,1777.51127014381,1694.38781803723,2023.47902002447,1795.07693591802,2022.85101523937,2089.83147267985,1807.07961428323,2015.76020029724,-0.0973636450026221,-1.79913993316549,0.0719965482099288,0.185947456112768,0.0973636450026221,1.79913993316549,0.0719965482099288,0.185947456112768,1894.82097214656,122.262484230927,0.18609195554408,1830.62890121942,85.3910272207991,1959.01304307369,125.318525578145
"ENSMUSG00000000088","Cox5a","cytochrome c oxidase subunit 5A","NM_007747|NP_031773|XM_030244034|XM_036154591|XP_030099894|XP_036010484","12858","10090.ENSMUSP00000000090","GO:0042775|GO:0009060|GO:0045333|GO:0022904|GO:0019646|GO:0006119|GO:0006091|GO:0022900|GO:0042773|GO:0044237|GO:0009987|GO:0006123|GO:0015980|GO:0008152|GO:0031975|GO:0098796|GO:0031966|GO:0070069|GO:0098803|GO:0005743|GO:0043231|GO:1902494|GO:0019866|GO:0031090|GO:0005739|GO:0110165|GO:0043226|GO:0016020|GO:0031967|GO:0043229|GO:0005622|GO:0005737|GO:0070469|GO:0032991|GO:0005740|GO:0005746|GO:0098800|GO:0043227|GO:0045277|GO:0098798",17605.9927633315,20078.3036144232,20844.6044720031,18654.0464401365,19073.5829811768,19276.5400668976,20726.5172862002,20020.1736673945,20559.3255310259,20223.7166286194,20136.9086890004,20687.4656714245,-0.0827731058164506,-1.99004274850524,0.0465862266192257,0.135025955454734,0.0827731058164506,1.99004274850524,0.0465862266192257,0.135025955454734,19823.9314843028,984.168900310139,0.13515266111441,19255.5117229948,1124.13662912211,20392.3512456108,302.933841786904
