"ENSEMBL","SYMBOL","GENENAME","REFSEQ","ENTREZID","STRING_id","GOSLIM_IDS","GSM3932693","GSM3932694","GSM3932695","GSM3932696","GSM3932697","GSM3932698","GSM3932699","GSM3932700","GSM3932701","GSM3932702","GSM3932703","GSM3932704","GSM3932705","GSM3932706","GSM3932707","GSM3932708","Log2fc_(Ground Control)v(Space Flight)","Stat_(Ground Control)v(Space Flight)","P.value_(Ground Control)v(Space Flight)","Adj.p.value_(Ground Control)v(Space Flight)","Log2fc_(Space Flight)v(Ground Control)","Stat_(Space Flight)v(Ground Control)","P.value_(Space Flight)v(Ground Control)","Adj.p.value_(Space Flight)v(Ground Control)","All.mean","All.stdev","LRT.p.value","Group.Mean_(Ground Control)","Group.Stdev_(Ground Control)","Group.Mean_(Space Flight)","Group.Stdev_(Space Flight)"
"ENSMUSG00000000001","Gnai3","G protein subunit alpha i3","NM_010306|NP_034436","14679","10090.ENSMUSP00000000001","GO:0050789|GO:0007188|GO:0050896|GO:0051716|GO:0007165|GO:0050794|GO:0065007|GO:0007186|GO:0007154|GO:0009987|GO:0023052|GO:0003924|GO:0016462|GO:0005488|GO:0003824|GO:0016787|GO:0016818|GO:0016817|GO:0005515|GO:0044877|GO:0017111|GO:0001664|GO:0005102|GO:0098796|GO:0031234|GO:0032991|GO:1902494|GO:0098797|GO:0019897|GO:0110165|GO:0071944|GO:0016020|GO:0098552|GO:0009898|GO:0005886|GO:0019898|GO:0098562",266.53704107822,273.544717598945,265.887704757839,246.846946049746,206.481056413611,245.862248022221,251.60604663268,233.238761384534,242.654946914203,241.797867199473,279.356325599851,267.763297012752,239.470294221288,240.684782899082,243.724313414369,258.162806283009,-0.0139612913301266,-0.195231721399985,0.845211546751333,0.966557852960851,0.0139612913301266,0.195231721399985,0.845211546751333,0.966557852960851,250.226197217614,18.0483141484089,0.961952115302817,248.750565242225,21.620881495267,251.701829193003,15.0192600252359
"ENSMUSG00000000028","Cdc45","cell division cycle 45","NM_001161623|NM_001358206|NM_001416648|NM_001416649|NM_001416651|NM_001416660|NM_001416663|NM_009862|NP_001155095|NP_001345135|NP_001403577|NP_001403578|NP_001403580|NP_001403589|NP_001403592|NP_033992|XM_036159760|XP_036015653","12544","10090.ENSMUSP00000000028","GO:0006281|GO:0006725|GO:0044085|GO:0071824|GO:0006302|GO:0022402|GO:0065003|GO:0065004|GO:0006139|GO:1903047|GO:0006974|GO:0000278|GO:1901360|GO:0006807|GO:0000725|GO:0006261|GO:0044786|GO:0071704|GO:0008152|GO:0022607|GO:0033260|GO:0046483|GO:0051716|GO:0043170|GO:0044237|GO:0016043|GO:0034641|GO:0000724|GO:0009987|GO:0006310|GO:0044238|GO:0071840|GO:0050896|GO:0090304|GO:0006950|GO:0000727|GO:0043933|GO:1902969|GO:0007049|GO:0033554|GO:0006260|GO:0006270|GO:0006259|GO:1990837|GO:0003688|GO:0043565|GO:0003676|GO:0003682|GO:0003697|GO:0005488|GO:0097159|GO:0003677|GO:1901363|GO:0003690|GO:0044877|GO:0031974|GO:0043233|GO:0005634|GO:0043231|GO:0032993|GO:0031261|GO:0005654|GO:0070013|GO:0110165|GO:0043226|GO:0043229|GO:0005622|GO:0032991|GO:0043227|GO:0031981|GO:0140513",23.7544413427032,37.0931317464627,31.6356617249775,34.2035478491254,12.9038493741596,28.1492223805836,22.7472976977904,31.948598301674,35.8322100075966,37.462363451866,31.023499193154,29.4394814273018,20.4466939599161,19.7199262975412,27.2341505437415,48.4724733707538,-0.163602184110345,-0.682374210855405,0.495002358553333,NA,0.163602184110345,0.682374210855405,0.495002358553333,NA,29.5041592918342,8.54292887882975,0.855904105067701,27.8044688021845,7.77545898353022,31.2038497814839,9.45135671613594
"ENSMUSG00000000031","H19","H19, imprinted maternally expressed transcript","NM_023123|NR_001592|NR_130973|NR_130974","14955",NA,NA,6.9422463090049,2.56119358913734,2.37491191535096,19.3878097452654,1,5.68208709259093,4.29591700990759,11.307431860855,2.6474307995849,7.01432184136023,2.95870653724485,4.44290672185941,4.13876406610665,7.15296923042812,4.11967750612953,2.56409942477744,0.717130418678054,1.03671476915083,0.299868806860236,NA,-0.717130418678054,-1.03671476915083,0.299868806860236,NA,5.5369046031002,4.48633147116166,NA,6.69394969026401,6.0640533599425,4.37985951593639,1.81573659322149
"ENSMUSG00000000037","Scml2","Scm polycomb group protein like 2","NM_001290651|NM_001290652|NM_133194|NP_001277580|NP_001277581|XM_006528670|XM_006528672|XM_006528673|XP_006528733|XP_006528735|XP_006528736","107815","10090.ENSMUSP00000019101",NA,15.5111444903545,18.3943170477057,17.4856819393914,33.4970731836269,13.8692291759366,14.628327710885,10.7212324160794,16.3904150609835,26.2500859044507,14.4056259554079,26.0025428353887,14.6512950092271,22.4214069254062,18.52028840699,30.0918444843881,14.5168826093687,-0.227308970649034,-0.800992201908851,0.423136160330319,NA,0.227308970649034,0.800992201908851,0.423136160330319,NA,19.2098370722244,6.54094471850665,NA,17.5621776281204,6.85818430173943,20.8574965163284,6.20000020094588
"ENSMUSG00000000049","Apoh","apolipoprotein H","NM_013475|NP_038503|XM_006532042|XP_006532105","11818","10090.ENSMUSP00000000049","GO:0048583|GO:0050789|GO:0002697|GO:0048519|GO:0048585|GO:0030449|GO:0050776|GO:0065007|GO:0002706|GO:0002703|GO:0002682|GO:0002683|GO:0002819|GO:0050777|GO:0110165|GO:0005615|GO:0005576",4.10764761021345,3.17666956708291,1.64268103073035,5.48777511627284,1.89511716628981,4.84686689115913,3.64093974062969,1,1,2.24347988428508,1,1,2.67686094677959,2.34621045753359,1.76895417938046,1.68449672905508,1.55345160182174,1.7168543891058,0.0860057803931735,NA,-1.55345160182174,-1.7168543891058,0.0860057803931735,NA,2.46985620746325,1.4185741252859,NA,3.22471214029727,1.60035522623038,1.71500027462922,0.669798542606423
"ENSMUSG00000000056","Narf","nuclear prelamin A recognition factor","NM_026272|NP_080548","67608","10090.ENSMUSP00000099304","GO:0071840|GO:0022607|GO:0044085|GO:0006790|GO:0044237|GO:0016043|GO:0016226|GO:0009987|GO:0008152|GO:0005515|GO:0005488|GO:0031974|GO:0099080|GO:0043233|GO:0005634|GO:0043231|GO:0005882|GO:0070013|GO:0045111|GO:0099081|GO:0099512|GO:0110165|GO:0140535|GO:0043226|GO:0099513|GO:0043229|GO:0005622|GO:0043232|GO:0034399|GO:0043228|GO:0032991|GO:0043227|GO:0031981|GO:0005856",516.457768205858,593.453165845684,616.441068839408,687.398122846142,661.254549904926,607.673059952283,547.436732858007,546.311378436944,572.218340293688,567.645103753328,605.625334951309,690.344545412881,647.234271950527,581.196403777837,580.034780504015,654.646758601476,-0.0370100808884489,-0.549731182542757,0.582503765795461,0.882034476678635,0.0370100808884489,0.549731182542757,0.582503765795461,0.882034476678635,604.710711633395,51.6489336817196,0.887230398686163,597.053230861156,58.9404050550925,612.368192405633,45.9163737244698
"ENSMUSG00000000058","Cav2","caveolin 2","NM_001277756|NM_016900|NP_001264685|NP_058596","12390","10090.ENSMUSP00000000058","GO:0098771|GO:0044085|GO:0043408|GO:0061024|GO:0009967|GO:0007009|GO:0010256|GO:1902531|GO:0050789|GO:0032870|GO:0009966|GO:0023056|GO:0048518|GO:0007169|GO:0048869|GO:0022607|GO:0071495|GO:1901700|GO:0071310|GO:0016043|GO:0007154|GO:0010243|GO:0055082|GO:0051480|GO:0050801|GO:0048522|GO:1901698|GO:0048583|GO:0071840|GO:0007167|GO:0050794|GO:0071417|GO:0030003|GO:0010647|GO:0006873|GO:0007165|GO:0048519|GO:0055074|GO:0032868|GO:0043434|GO:0023051|GO:0032502|GO:0019725|GO:1901699|GO:0006874|GO:0043410|GO:0048584|GO:0030154|GO:1901701|GO:0009719|GO:0071709|GO:1901652|GO:0008285|GO:0032869|GO:1902533|GO:0023052|GO:0048523|GO:0010033|GO:0010646|GO:0051716|GO:0008286|GO:0070887|GO:0042127|GO:0042592|GO:0055080|GO:1901653|GO:0071375|GO:0009987|GO:0048878|GO:0050896|GO:0009725|GO:0042221|GO:0007166|GO:0065007|GO:0019899|GO:0005515|GO:0019901|GO:0005488|GO:0019900|GO:0044853|GO:0048471|GO:0097708|GO:0043231|GO:0070161|GO:0005794|GO:0030054|GO:0005901|GO:0071944|GO:0110165|GO:0043226|GO:0016020|GO:0031982|GO:0043229|GO:0042383|GO:0005622|GO:0005737|GO:0012505|GO:0005925|GO:0030055|GO:0098590|GO:0043227|GO:0031410|GO:0045121|GO:0098857|GO:0005886",273.569741414669,247.905288456188,302.395024787071,287.733457615187,251.30875957952,256.489804914719,295.82641073487,253.31609783794,281.732597862254,251.040610711515,270.053396946135,284.982348055658,347.51175808609,315.101875466119,298.653703681002,270.558135695073,-0.0927835711419992,-1.19884225039231,0.230589290486203,0.672017847026832,0.0927835711419992,1.19884225039231,0.230589290486203,0.672017847026832,280.511188240251,27.2757512751989,0.687785505037363,271.06807316752,21.8205347652321,289.954303312981,30.236662221037
"ENSMUSG00000000078","Klf6","Kruppel-like transcription factor 6","NM_011803|NP_035933","23849","10090.ENSMUSP00000000080",NA,260.388540848594,301.73593701608,269.878070250701,303.304707200353,344.553119208142,360.001712169756,322.435191252101,293.281801419899,283.734294453069,392.254388995696,315.30868603891,348.38084865717,313.690467546491,352.15330179234,346.55330831239,269.74037014799,-0.0961175837733347,-1.08045920027245,0.279937745787554,0.714997468740863,0.0961175837733347,1.08045920027245,0.279937745787554,0.714997468740863,317.337171581855,37.554857534701,0.728488947623642,306.947384920703,34.3050632460219,327.726958243007,39.9830064737373
"ENSMUSG00000000085","Scmh1","sex comb on midleg homolog 1","NM_001159630|NM_001379184|NM_001379185|NM_001379186|NM_001404090|NM_001404102|NM_001404103|NM_013883|NP_001153102|NP_001366113|NP_001366114|NP_001366115|NP_001391019|NP_001391031|NP_001391032|NP_038911|NR_175812|XM_006503149|XM_017320253|XP_006503212|XP_017175742|XR_003954960|XR_004941919","29871","10090.ENSMUSP00000101908","GO:0031324|GO:0048519|GO:0009890|GO:0051253|GO:0006355|GO:0051171|GO:1902679|GO:0009892|GO:2001141|GO:0051252|GO:0051172|GO:0050789|GO:0080090|GO:0010558|GO:0031326|GO:0060255|GO:0050794|GO:0019219|GO:0009889|GO:0010605|GO:0065007|GO:0045934|GO:0010556|GO:0045892|GO:0010468|GO:0048523|GO:0019222|GO:0031327|GO:0031323|GO:0005515|GO:0044877|GO:0042393|GO:0005488|GO:0003682|GO:0043227|GO:0110165|GO:0043226|GO:0005634|GO:0043231|GO:0043229|GO:0005622",633.162260576187,575.332388259843,685.464252701877,734.149671132627,512.035673241082,613.479269384143,705.861835562169,683.131214387067,456.482278303555,574.013825663117,575.443181865617,679.292464998019,635.849018699847,778.351781738945,565.248527970873,622.31339354902,0.0747193925151627,0.78046612798722,0.435116557430293,0.814113288250893,-0.0747193925151627,-0.78046612798722,0.435116557430293,0.814113288250893,626.850689877124,83.4558165221509,0.823356768116361,642.827070655624,74.0387697881259,610.874309098624,94.1253023247173
"ENSMUSG00000000088","Cox5a","cytochrome c oxidase subunit 5A","NM_007747|NP_031773|XM_030244034|XM_036154591|XP_030099894|XP_036010484","12858","10090.ENSMUSP00000000090","GO:0042775|GO:0009060|GO:0045333|GO:0022904|GO:0019646|GO:0006119|GO:0006091|GO:0022900|GO:0042773|GO:0044237|GO:0009987|GO:0006123|GO:0015980|GO:0008152|GO:0031975|GO:0098796|GO:0031966|GO:0070069|GO:0098803|GO:0005743|GO:0043231|GO:1902494|GO:0019866|GO:0031090|GO:0005739|GO:0110165|GO:0043226|GO:0016020|GO:0031967|GO:0043229|GO:0005622|GO:0005737|GO:0070469|GO:0032991|GO:0005740|GO:0005746|GO:0098800|GO:0043227|GO:0045277|GO:0098798",783.456024135823,893.313741334608,956.049276213899,954.44584787591,892.048977353366,878.886904342693,809.100511635459,840.949543478603,989.946532020791,905.974011280396,884.990369616075,885.511883748196,834.308085825615,968.975931711202,852.900096239368,1015.02126305766,-0.0671786028425676,-1.17025398266871,0.241898774522775,0.68292794770787,0.0671786028425676,1.17025398266871,0.241898774522775,0.68292794770787,896.617437491854,65.7730055909633,0.698774778279554,876.031353296295,62.5594150176175,917.203521687412,66.2408714093623
