"ENSEMBL","SYMBOL","GENENAME","REFSEQ","ENTREZID","STRING_id","GOSLIM_IDS","RR9_TMS_FLT_F1","RR9_TMS_FLT_F6","RR9_TMS_FLT_F7","RR9_TMS_FLT_F3","RR9_TMS_FLT_F5","RR9_TMS_FLT_F2","RR9_TMS_FLT_F8","RR9_TMS_FLT_F4","RR9_TMS_FLT_F10","RR9_TMS_FLT_F9","RR9_TMS_GC_G4","RR9_TMS_GC_G10","RR9_TMS_GC_G1","RR9_TMS_GC_G7","RR9_TMS_GC_G6","RR9_TMS_GC_G9","RR9_TMS_GC_G8","RR9_TMS_GC_G3","RR9_TMS_GC_G2","RR9_TMS_GC_G5","Log2fc_(Ground Control)v(Space Flight)","Stat_(Ground Control)v(Space Flight)","P.value_(Ground Control)v(Space Flight)","Adj.p.value_(Ground Control)v(Space Flight)","Log2fc_(Space Flight)v(Ground Control)","Stat_(Space Flight)v(Ground Control)","P.value_(Space Flight)v(Ground Control)","Adj.p.value_(Space Flight)v(Ground Control)","All.mean","All.stdev","LRT.p.value","Group.Mean_(Ground Control)","Group.Stdev_(Ground Control)","Group.Mean_(Space Flight)","Group.Stdev_(Space Flight)"
"ENSMUSG00000000001","Gnai3","G protein subunit alpha i3","NM_010306|NP_034436","14679","10090.ENSMUSP00000000001","GO:0050789|GO:0007188|GO:0050896|GO:0051716|GO:0007165|GO:0050794|GO:0065007|GO:0007186|GO:0007154|GO:0009987|GO:0023052|GO:0003924|GO:0016462|GO:0005488|GO:0003824|GO:0016787|GO:0016818|GO:0016817|GO:0005515|GO:0044877|GO:0017111|GO:0001664|GO:0005102|GO:0098796|GO:0031234|GO:0032991|GO:1902494|GO:0098797|GO:0019897|GO:0110165|GO:0071944|GO:0016020|GO:0098552|GO:0009898|GO:0005886|GO:0019898|GO:0098562",396.405534510807,526.037380260825,352.95894083361,409.107898079152,463.012124580231,484.164993524487,361.525411614489,425.217130081854,560.291067940703,414.36710624764,351.434050356823,346.749980713523,553.294152633589,499.839677820133,390.15731418655,381.79490752074,629.184490426257,479.243311328077,441.886089041591,452.325636930852,0.0499176363651122,0.35559261587195,0.72214567436061,0.894112281121311,-0.0499176363651122,-0.35559261587195,0.72214567436061,0.894112281121311,445.949859931597,78.6141489342393,0.88748664614233,452.590961095813,91.121979457099,439.30875876738,68.1603363689481
"ENSMUSG00000000028","Cdc45","cell division cycle 45","NM_001161623|NM_001358206|NM_001416648|NM_001416649|NM_001416651|NM_001416660|NM_001416663|NM_009862|NP_001155095|NP_001345135|NP_001403577|NP_001403578|NP_001403580|NP_001403589|NP_001403592|NP_033992|XM_036159760|XP_036015653","12544","10090.ENSMUSP00000000028","GO:0006281|GO:0006725|GO:0044085|GO:0071824|GO:0006302|GO:0022402|GO:0065003|GO:0065004|GO:0006139|GO:1903047|GO:0006974|GO:0000278|GO:1901360|GO:0006807|GO:0000725|GO:0006261|GO:0044786|GO:0071704|GO:0008152|GO:0022607|GO:0033260|GO:0046483|GO:0051716|GO:0043170|GO:0044237|GO:0016043|GO:0034641|GO:0000724|GO:0009987|GO:0006310|GO:0044238|GO:0071840|GO:0050896|GO:0090304|GO:0006950|GO:0000727|GO:0043933|GO:1902969|GO:0007049|GO:0033554|GO:0006260|GO:0006270|GO:0006259|GO:1990837|GO:0003688|GO:0043565|GO:0003676|GO:0003682|GO:0003697|GO:0005488|GO:0097159|GO:0003677|GO:1901363|GO:0003690|GO:0044877|GO:0031974|GO:0043233|GO:0005634|GO:0043231|GO:0032993|GO:0031261|GO:0005654|GO:0070013|GO:0110165|GO:0043226|GO:0043229|GO:0005622|GO:0032991|GO:0043227|GO:0031981|GO:0140513",2.56806144601148,1,12.4412802691879,1,8.87481366182098,23.1349573707653,2.58268559276044,3.23542879378976,2.99574687807239,1.80388782779572,2.31041432519846,34.1077285913002,71.9415104861277,28.5928489051739,29.2519751766831,5.25604255201709,66.4000656551786,48.7335230649858,41.4169511493986,69.5704862802856,3.00457721672042,4.38355707205117,1.16757042729165e-05,0.000505942730905975,-3.00457721672042,-4.38355707205117,1.16757042729165e-05,0.000505942730905975,22.8609204013277,24.8561700898918,0.0010769350459752,39.7581546186349,24.8938723940235,5.96368618402039,7.07954965920915
"ENSMUSG00000000031","H19","H19, imprinted maternally expressed transcript","NM_023123|NR_001592|NR_130973|NR_130974","14955",NA,NA,1,1,1,1,1,1,55.7788378283515,25.9804735478744,1,1,3.44118354327931,1,27.0536777564556,17.7879514040606,1,1,14.985517537242,1.61686308767847,5.16645356828503,5.17105694696494,-0.150661995155424,-0.104685537981632,0.916625337920168,0.969236940089698,0.150661995155424,0.104685537981632,0.916625337920168,0.969236940089698,8.39910076100959,14.005886689811,0.955899915882957,7.82227038439659,9.01780556172128,8.97593113762259,18.2226670733028
"ENSMUSG00000000037","Scml2","Scm polycomb group protein like 2","NM_001290651|NM_001290652|NM_133194|NP_001277580|NP_001277581|XM_006528670|XM_006528672|XM_006528673|XP_006528733|XP_006528735|XP_006528736","107815","10090.ENSMUSP00000019101",NA,1,9.36914420258926,3.60734654656386,11.1476482722027,1,1,1,1,1,1,1,2.01897611339475,1.52240842038553,1,25.0097176790643,3.99067056039187,8.34277102729452,1,6.46178530448112,7.21234369058852,1.19239030303943,0.873518428712005,0.382380565912754,NA,-1.19239030303943,-0.873518428712005,0.382380565912754,NA,4.43414059084782,5.86251086726777,NA,5.75586727956006,7.3248415963164,3.11241390213558,3.8757461104583
"ENSMUSG00000000056","Narf","nuclear prelamin A recognition factor","NM_026272|NP_080548","67608","10090.ENSMUSP00000099304","GO:0071840|GO:0022607|GO:0044085|GO:0006790|GO:0044237|GO:0016043|GO:0016226|GO:0009987|GO:0008152|GO:0005515|GO:0005488|GO:0031974|GO:0099080|GO:0043233|GO:0005634|GO:0043231|GO:0005882|GO:0070013|GO:0045111|GO:0099081|GO:0099512|GO:0110165|GO:0140535|GO:0043226|GO:0099513|GO:0043229|GO:0005622|GO:0043232|GO:0034399|GO:0043228|GO:0032991|GO:0043227|GO:0031981|GO:0005856",224.508586948155,197.320174296788,130.119435339567,137.983195615642,202.939815056983,326.245059758035,401.898460967958,35.2700148826013,84.3511427493208,77.9690439306523,181.350422275394,76.8050931337191,85.7665031276207,95.8678968572147,68.2473811790346,91.8796565476506,210.176881068759,102.428292283356,104.923828624932,117.539564866646,-0.655587510582288,-1.96522776309545,0.0493878820075389,0.245467482038738,0.655587510582288,1.96522776309545,0.0493878820075389,0.245467482038738,147.679522475501,91.9466542755452,0.244308390548323,113.498551996433,46.0728209682848,181.86049295457,114.580606789993
"ENSMUSG00000000058","Cav2","caveolin 2","NM_001277756|NM_016900|NP_001264685|NP_058596","12390","10090.ENSMUSP00000000058","GO:0098771|GO:0044085|GO:0043408|GO:0061024|GO:0009967|GO:0007009|GO:0010256|GO:1902531|GO:0050789|GO:0032870|GO:0009966|GO:0023056|GO:0048518|GO:0007169|GO:0048869|GO:0022607|GO:0071495|GO:1901700|GO:0071310|GO:0016043|GO:0007154|GO:0010243|GO:0055082|GO:0051480|GO:0050801|GO:0048522|GO:1901698|GO:0048583|GO:0071840|GO:0007167|GO:0050794|GO:0071417|GO:0030003|GO:0010647|GO:0006873|GO:0007165|GO:0048519|GO:0055074|GO:0032868|GO:0043434|GO:0023051|GO:0032502|GO:0019725|GO:1901699|GO:0006874|GO:0043410|GO:0048584|GO:0030154|GO:1901701|GO:0009719|GO:0071709|GO:1901652|GO:0008285|GO:0032869|GO:1902533|GO:0023052|GO:0048523|GO:0010033|GO:0010646|GO:0051716|GO:0008286|GO:0070887|GO:0042127|GO:0042592|GO:0055080|GO:1901653|GO:0071375|GO:0009987|GO:0048878|GO:0050896|GO:0009725|GO:0042221|GO:0007166|GO:0065007|GO:0019899|GO:0005515|GO:0019901|GO:0005488|GO:0019900|GO:0044853|GO:0048471|GO:0097708|GO:0043231|GO:0070161|GO:0005794|GO:0030054|GO:0005901|GO:0071944|GO:0110165|GO:0043226|GO:0016020|GO:0031982|GO:0043229|GO:0042383|GO:0005622|GO:0005737|GO:0012505|GO:0005925|GO:0030055|GO:0098590|GO:0043227|GO:0031410|GO:0045121|GO:0098857|GO:0005886",34.3216606086618,17.1280824269281,31.2485892445862,200.290758411805,83.9410580725941,44.9612656281093,25.7814382697021,71.632176167582,158.03269180294,18.7884714044,75.5230521952955,10.2758862967747,18.3746812737356,70.9521842085478,70.5666323080418,106.633583632392,10.862800450238,5.75687248113513,80.2809116000251,6.24719850222646,-0.613304317991919,-1.09738230202705,0.272474306646614,0.59605180449237,0.613304317991919,1.09738230202705,0.272474306646614,0.59605180449237,57.079999749286,52.1935770546864,0.591180180842345,45.5473802948412,38.6164805277508,68.6126192037309,62.962158727581
"ENSMUSG00000000078","Klf6","Kruppel-like transcription factor 6","NM_011803|NP_035933","23849","10090.ENSMUSP00000000080",NA,302.131894927358,226.678298530858,311.745309459005,318.67088480178,294.421796477543,223.041162025732,304.467335429221,220.974032761921,480.422304161838,245.974138658238,352.75193436921,208.238718635666,410.95667507066,341.129768885085,353.205850060586,310.001037359498,298.238500929387,267.410555107763,438.853703546075,320.05239339411,0.180248819744584,1.0812419208609,0.279589514990676,0.602805052297759,-0.180248819744584,-1.0812419208609,0.279589514990676,0.602805052297759,311.468314729577,72.479040868362,0.594696841441285,330.083913735804,66.5282144052436,292.852715723349,76.7725179446053
"ENSMUSG00000000085","Scmh1","sex comb on midleg homolog 1","NM_001159630|NM_001379184|NM_001379185|NM_001379186|NM_001404090|NM_001404102|NM_001404103|NM_013883|NP_001153102|NP_001366113|NP_001366114|NP_001366115|NP_001391019|NP_001391031|NP_001391032|NP_038911|NR_175812|XM_006503149|XM_017320253|XP_006503212|XP_017175742|XR_003954960|XR_004941919","29871","10090.ENSMUSP00000101908","GO:0031324|GO:0048519|GO:0009890|GO:0051253|GO:0006355|GO:0051171|GO:1902679|GO:0009892|GO:2001141|GO:0051252|GO:0051172|GO:0050789|GO:0080090|GO:0010558|GO:0031326|GO:0060255|GO:0050794|GO:0019219|GO:0009889|GO:0010605|GO:0065007|GO:0045934|GO:0010556|GO:0045892|GO:0010468|GO:0048523|GO:0019222|GO:0031327|GO:0031323|GO:0005515|GO:0044877|GO:0042393|GO:0005488|GO:0003682|GO:0043227|GO:0110165|GO:0043226|GO:0005634|GO:0043231|GO:0043229|GO:0005622",104.289282962466,60.3390303368114,100.417920520489,23.9879598125951,50.7648040126696,112.742298733949,42.3944314745187,93.0508713465396,62.1226793993617,140.854981375158,30.3707512216657,77.0702167786089,73.219090265698,131.405703331864,93.3089986926878,72.8259347462604,152.687764405609,77.4257275865384,66.3678358278947,95.1663109789344,0.149216584204443,0.483385236998304,0.628822228510577,0.847862540826224,-0.149216584204443,-0.483385236998304,0.628822228510577,0.847862540826224,83.040629690516,34.7735541412358,0.840363455487696,86.9848333835762,34.3299053011402,79.0964259974558,36.6011305947742
"ENSMUSG00000000088","Cox5a","cytochrome c oxidase subunit 5A","NM_007747|NP_031773|XM_030244034|XM_036154591|XP_030099894|XP_036010484","12858","10090.ENSMUSP00000000090","GO:0042775|GO:0009060|GO:0045333|GO:0022904|GO:0019646|GO:0006119|GO:0006091|GO:0022900|GO:0042773|GO:0044237|GO:0009987|GO:0006123|GO:0015980|GO:0008152|GO:0031975|GO:0098796|GO:0031966|GO:0070069|GO:0098803|GO:0005743|GO:0043231|GO:1902494|GO:0019866|GO:0031090|GO:0005739|GO:0110165|GO:0043226|GO:0016020|GO:0031967|GO:0043229|GO:0005622|GO:0005737|GO:0070469|GO:0032991|GO:0005740|GO:0005746|GO:0098800|GO:0043227|GO:0045277|GO:0098798",1436.87419957646,1222.2123982602,2537.49325368581,4027.78112612027,2343.7039445055,1044.07166192575,2089.20459618091,2676.85615215845,2067.4115585896,1361.76998512521,2633.56233507877,1140.46598847695,906.429708380645,2356.64805876491,1039.85168655126,2239.01910642736,1086.18113470742,1236.76246399431,2543.20923696949,1741.3944269263,-0.298687121126893,-1.20482779614351,0.228269787064192,0.548659488196608,0.298687121126893,1.20482779614351,0.228269787064192,0.548659488196608,1886.54515112028,801.222181168431,0.540724333543863,1692.35241462774,689.233704245921,2080.73788761282,892.411117179091
"ENSMUSG00000000093","Tbx2","T-box 2","NM_009324|NP_033350","21385","10090.ENSMUSP00000000095","GO:0048869|GO:0006355|GO:0051171|GO:0006357|GO:0032502|GO:2001141|GO:0045165|GO:0009987|GO:0051252|GO:0050789|GO:0001708|GO:0080090|GO:0030154|GO:0031326|GO:0060255|GO:0050794|GO:0019219|GO:0009889|GO:0065007|GO:0010556|GO:0010468|GO:0019222|GO:0031323|GO:0000987|GO:0001067|GO:0003676|GO:0003700|GO:0000977|GO:0005488|GO:0003690|GO:0000976|GO:1990837|GO:0043565|GO:0140110|GO:0097159|GO:0003677|GO:0000978|GO:1901363|GO:0000981",1,1,3.41068674925148,1,3.58108973338258,1,1,1,6.88732138192119,1.79037318395592,1,15.5934313995025,1,16.7528094493816,1,1,1,4.58680807915818,2.32577974155233,1.15445605743466,1.61163057197193,1.04288842482619,0.296999971211492,NA,-1.61163057197193,-1.04288842482619,0.296999971211492,NA,3.35413778877702,4.66050239793381,NA,4.54132847270293,6.23926556253263,2.16694710485112,1.94767731138425
